"","county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"427","bamberg county","SC",138.75,831.1,92.9,16.5,"non-metro"
"428","bingham county","ID",173.22,59.9,61.6,13.2,"non-metro"
"429","bedford county","VA",72,81.9,37,8.4,"metro"
"430","winnebago county","IL",46,160,86,8.4,"metro"
"431","polk county","MN",65.53,65.2,55.8,6.2,"metro"
"432","lincoln county","MS",79.67,168.7,100.3,13.1,"non-metro"
"433","leflore county","MS",212,507.5,103.9,16.4,"non-metro"
"434","ohio county","KY",35.08,-1,99.5,8.8,"non-metro"
"435","fayette county","AL",177.17,99.5,114.3,8.4,"non-metro"
"436","edwards county","KS",267.25,-1,64.2,12.6,"non-metro"
"437","fauquier county","VA",44.94,121.5,61.7,8.6,"metro"
"438","butler county","KS",151.88,147.8,88.9,9.2,"metro"
"439","jasper county","SC",184.8,362.6,60.3,20.4,"metro"
"440","philadelphia county","PA",4.23,1339.1,55,12,"metro"
"441","berkeley county","WV",64.11,153.2,82.6,8.8,"metro"
"442","morgan county","IL",29.56,71.2,114.3,6.9,"non-metro"
"443","houghton county","MI",155.29,41.8,39.2,8.9,"non-metro"
"444","crook county","OR",38.5,67.6,83,10.5,"non-metro"
"445","cobb county","GA",15.53,459.6,54.4,15.4,"metro"
"446","maverick county","TX",330,172.2,28.4,31.1,"non-metro"
"447","multnomah county","OR",4.73,460.5,43.2,10.4,"metro"
"448","clay county","KY",21.33,-1,187.4,10.2,"non-metro"
"449","kewaunee county","WI",21,46.2,15.4,4.4,"metro"
"450","highlands county","FL",127.62,248.8,74.3,15.2,"metro"
"451","dakota county","MN",12.89,119.3,43,5.2,"metro"
"452","carter county","KY",6,-1,65.5,12.6,"non-metro"
"453","dutchess county","NY",58.88,366.5,49.7,6.6,"metro"
"454","elmore county","AL",133.44,222,109.4,8.8,"metro"
"455","morrill county","NE",127.25,-1,56.9,13,"non-metro"
"456","burt county","NE",196.8,-1,20,8.8,"non-metro"
"457","hale county","TX",83.17,76.8,58.7,20.3,"non-metro"
"458","allen county","KS",90.5,-1,96.8,10.3,"non-metro"
"459","russell county","KS",224.43,-1,2.5,8.8,"non-metro"
"460","chippewa county","MN",102.4,80.3,62.8,8.1,"non-metro"
"461","bosque county","TX",339,104.7,36.2,20.7,"non-metro"
"462","brantley county","GA",226.25,157.2,49.3,24.4,"metro"
"463","sheridan county","NE",188.14,-1,17.2,14.9,"non-metro"
"464","westchester county","NY",14.96,441.3,30.9,8.9,"metro"
"465","wilcox county","GA",131.4,679.5,2.8,14.9,"non-metro"
"466","columbus county","NC",55.79,-1,139.8,15.8,"non-metro"
"467","douglas county","GA",20.75,341.9,84.7,15.6,"metro"
"468","woodson county","KS",99.75,-1,0.8,15.3,"non-metro"
"469","nolan county","TX",180.4,157,83.4,17.8,"non-metro"
"470","mills county","IA",148.25,103.6,49.2,5.7,"metro"
"471","union county","PA",99.23,145.6,52.8,11.2,"non-metro"
"472","west baton rouge parish","LA",10,507.2,87.7,10.6,"metro"
"473","henderson county","KY",77,-1,127,8.2,"metro"
"474","montgomery county","OH",14.61,303.6,77.3,9.1,"metro"
"475","campbell county","WY",237.33,56.9,66.5,11,"non-metro"
"476","madison county","OH",21.29,210.8,63.2,8.4,"metro"
"477","lancaster county","NE",162.19,-1,56.3,9.3,"metro"
"478","sanilac county","MI",54.25,56.9,39.8,11.8,"non-metro"
"479","brown county","IN",12.5,91.4,32.9,11.7,"metro"
"480","jewell county","KS",197.57,-1,0.4,7.8,"non-metro"
"481","perry county","MS",111.33,188.7,65.4,18.1,"metro"
"482","lauderdale county","TN",159.5,265.3,91.5,13.5,"non-metro"
"483","blaine county","ID",216.43,43.9,44.4,16.5,"non-metro"
"484","morton county","KS",147,-1,115.6,10.9,"non-metro"
"485","falls county","TX",343,266.4,58.1,18.9,"metro"
"486","russell county","VA",43.17,46.4,105.7,12.8,"non-metro"
"487","patrick county","VA",39.14,64.1,58.5,14.5,"non-metro"
"488","st. louis county","MN",39.84,75.4,54.4,5.4,"metro"
"489","madison county","IN",24.71,157.5,98.9,11.7,"metro"
"490","gratiot county","MI",47.77,96.7,70.2,8.2,"non-metro"
"491","brooks county","GA",204.25,408.8,84.4,19.2,"metro"
"492","duval county","TX",460.6,236.6,9.5,27.7,"non-metro"
"493","caledonia county","VT",224.29,84.4,54.9,5.3,"non-metro"
"494","gallatin county","MT",158.44,54.3,38.5,10.2,"non-metro"
"495","northumberland county","PA",88.67,44,82.4,8.4,"non-metro"
"496","alameda county","CA",3.94,408,26.4,8.4,"metro"
"497","livingston county","MO",73,70.1,93.9,13.6,"non-metro"
"498","hamilton county","TX",313.5,100.1,44.6,17.4,"non-metro"
"499","lincoln county","KS",190,-1,0.5,11.5,"non-metro"
"500","chisago county","MN",31,34.9,30.9,5.6,"metro"
